ID,Acción,Tiempo_estimado_min,Requiere_insumo,Prioridad,Acción_previa
1571,Ajuste frenos,45,No,Baja,Ajuste frenos
1572,Ajuste frenos,38,Sí,Baja,Control de calidad
1573,Ensamblar marco,20,Sí,Alta,Ensamblar marco
1574,Control de calidad,51,No,Media,Pintar
1575,Ajuste frenos,48,Sí,Alta,Ensamblar marco
1576,Control de calidad,23,Sí,Baja,Instalar ruedas
1577,Ajuste frenos,54,No,Baja,Ajuste frenos
1578,Ensamblar marco,51,No,Baja,Ajuste frenos
1579,Control de calidad,27,No,Baja,Pintar
1580,Instalar ruedas,51,No,Alta,Control de calidad
1581,Ajuste frenos,58,Sí,Baja,Pintar
1582,Ensamblar marco,42,No,Media,Ajuste frenos
1583,Ensamblar marco,32,Sí,Baja,Instalar ruedas
1584,Ajuste frenos,23,Sí,Media,Ajuste frenos
1585,Ajuste frenos,52,Sí,Media,Instalar ruedas
1586,Control de calidad,48,Sí,Alta,Ajuste frenos
1587,Instalar ruedas,30,No,Media,Ajuste frenos
1588,Control de calidad,31,Sí,Alta,Pintar
1589,Control de calidad,51,No,Baja,Instalar ruedas
1590,Ensamblar marco,19,No,Baja,Ajuste frenos
1591,Ensamblar marco,45,No,Baja,Pintar
1592,Instalar ruedas,20,No,Media,Pintar
1593,Control de calidad,50,Sí,Alta,Control de calidad
1594,Ajuste frenos,36,Sí,Baja,Ajuste frenos
1595,Control de calidad,34,No,Baja,Ensamblar marco
1596,Instalar ruedas,52,No,Baja,Instalar ruedas
1597,Instalar ruedas,28,No,Baja,Control de calidad
1598,Control de calidad,15,Sí,Baja,Pintar
1599,Control de calidad,53,Sí,Baja,Pintar
1600,Ensamblar marco,28,Sí,Media,Ajuste frenos
1601,Ensamblar marco,55,No,Media,Control de calidad
1602,Pintar,34,No,Alta,Ajuste frenos
1603,Control de calidad,55,Sí,Alta,Control de calidad
1604,Pintar,28,No,Baja,Instalar ruedas
1605,Control de calidad,57,Sí,Alta,Control de calidad
1606,Ensamblar marco,35,Sí,Baja,Instalar ruedas
1607,Ensamblar marco,51,Sí,Media,Ensamblar marco
1608,Control de calidad,30,No,Alta,Pintar
1609,Ajuste frenos,17,No,Baja,Control de calidad
1610,Ajuste frenos,20,No,Media,Ajuste frenos
1611,Ajuste frenos,43,No,Alta,Ensamblar marco
1612,Ensamblar marco,53,No,Media,Instalar ruedas
1613,Pintar,34,Sí,Alta,Pintar
1614,Control de calidad,26,No,Media,Instalar ruedas
1615,Control de calidad,27,Sí,Media,Instalar ruedas
1616,Control de calidad,42,Sí,Baja,Ensamblar marco
1617,Control de calidad,23,No,Baja,Instalar ruedas
1618,Ensamblar marco,57,Sí,Alta,Ajuste frenos
1619,Control de calidad,39,No,Alta,Ajuste frenos
1620,Control de calidad,33,No,Media,Ensamblar marco
1621,Ensamblar marco,29,Sí,Alta,Ensamblar marco
1622,Ensamblar marco,49,Sí,Alta,Instalar ruedas
1623,Instalar ruedas,47,No,Media,Instalar ruedas
1624,Ajuste frenos,43,Sí,Baja,Ensamblar marco
1625,Ensamblar marco,28,No,Alta,Ajuste frenos
1626,Control de calidad,11,No,Alta,Ajuste frenos
1627,Control de calidad,36,No,Media,Ajuste frenos
1628,Ajuste frenos,31,No,Baja,Instalar ruedas
1629,Instalar ruedas,41,No,Alta,Ajuste frenos
1630,Instalar ruedas,34,Sí,Alta,Ajuste frenos
1631,Instalar ruedas,28,No,Baja,Ajuste frenos
1632,Instalar ruedas,37,Sí,Alta,Instalar ruedas
1633,Ajuste frenos,51,No,Alta,Control de calidad
1634,Ajuste frenos,59,Sí,Alta,Instalar ruedas
1635,Instalar ruedas,25,No,Alta,Ensamblar marco
1636,Ensamblar marco,42,No,Alta,Control de calidad
1637,Ajuste frenos,40,No,Media,Pintar
1638,Control de calidad,20,Sí,Alta,Ajuste frenos
1639,Ajuste frenos,28,No,Baja,Ensamblar marco
1640,Control de calidad,46,No,Alta,Ajuste frenos
1641,Instalar ruedas,31,Sí,Baja,Instalar ruedas
1642,Pintar,40,No,Media,Instalar ruedas
1643,Instalar ruedas,55,No,Alta,Pintar
1644,Instalar ruedas,38,No,Alta,Control de calidad
1645,Control de calidad,14,Sí,Alta,Pintar
1646,Ensamblar marco,27,Sí,Alta,Instalar ruedas
1647,Ajuste frenos,51,Sí,Media,Pintar
1648,Pintar,31,No,Baja,Pintar
1649,Pintar,21,No,Alta,Ajuste frenos
1650,Instalar ruedas,13,No,Alta,Pintar
1651,Pintar,32,Sí,Media,Control de calidad
1652,Ensamblar marco,51,Sí,Media,Ajuste frenos
1653,Control de calidad,18,No,Baja,Ensamblar marco
1654,Pintar,51,Sí,Baja,Ajuste frenos
1655,Ajuste frenos,32,No,Alta,Instalar ruedas
1656,Ajuste frenos,59,No,Baja,Instalar ruedas
1657,Pintar,31,No,Media,Pintar
1658,Pintar,17,Sí,Media,Ensamblar marco
1659,Pintar,22,Sí,Alta,Instalar ruedas
1660,Instalar ruedas,40,No,Media,Pintar
1661,Ensamblar marco,17,No,Alta,Pintar
1662,Instalar ruedas,26,Sí,Baja,Instalar ruedas
1663,Instalar ruedas,50,Sí,Baja,Pintar
1664,Ensamblar marco,42,Sí,Baja,Pintar
1665,Pintar,23,Sí,Media,Ajuste frenos
1666,Ajuste frenos,28,No,Baja,Ensamblar marco
1667,Control de calidad,49,Sí,Media,Instalar ruedas
1668,Pintar,44,No,Alta,Instalar ruedas
1669,Instalar ruedas,43,Sí,Media,Ajuste frenos
1670,Instalar ruedas,37,No,Alta,Instalar ruedas
1671,Instalar ruedas,47,No,Alta,Ensamblar marco
1672,Instalar ruedas,20,No,Alta,Ensamblar marco
1673,Instalar ruedas,44,No,Baja,Control de calidad
1674,Ensamblar marco,58,Sí,Baja,Control de calidad
1675,Control de calidad,26,No,Alta,Ensamblar marco
1676,Control de calidad,53,Sí,Baja,Control de calidad
1677,Ajuste frenos,39,No,Media,Control de calidad
1678,Control de calidad,35,No,Alta,Control de calidad
1679,Ajuste frenos,17,Sí,Baja,Control de calidad
1680,Instalar ruedas,47,Sí,Alta,Instalar ruedas
1681,Pintar,57,No,Alta,Control de calidad
1682,Ensamblar marco,34,Sí,Media,Pintar
1683,Ensamblar marco,42,No,Baja,Ajuste frenos
1684,Control de calidad,49,Sí,Alta,Instalar ruedas
1685,Ajuste frenos,37,No,Baja,Control de calidad
1686,Control de calidad,55,Sí,Media,Ajuste frenos
1687,Instalar ruedas,25,No,Media,Ensamblar marco
1688,Ajuste frenos,19,Sí,Alta,Ensamblar marco
1689,Ajuste frenos,37,Sí,Alta,Pintar
1690,Ensamblar marco,22,Sí,Media,Ensamblar marco
1691,Control de calidad,19,No,Media,Ensamblar marco
1692,Ajuste frenos,32,No,Baja,Pintar
1693,Ajuste frenos,41,Sí,Alta,Control de calidad
1694,Ajuste frenos,51,No,Alta,Control de calidad
1695,Pintar,55,Sí,Media,Pintar
1696,Instalar ruedas,49,No,Baja,Ensamblar marco
1697,Ajuste frenos,50,No,Baja,Ajuste frenos
1698,Control de calidad,23,Sí,Baja,Ajuste frenos
1699,Ensamblar marco,31,No,Alta,Control de calidad
1700,Control de calidad,48,Sí,Alta,Ajuste frenos
1701,Ensamblar marco,24,No,Media,Pintar
1702,Pintar,43,Sí,Baja,Ajuste frenos
1703,Ensamblar marco,55,No,Alta,Control de calidad
1704,Ajuste frenos,16,Sí,Media,Ensamblar marco
1705,Control de calidad,43,Sí,Alta,Ajuste frenos
1706,Control de calidad,44,Sí,Media,Ajuste frenos
1707,Pintar,52,No,Baja,Ajuste frenos
1708,Pintar,41,Sí,Baja,Pintar
1709,Ajuste frenos,25,No,Baja,Pintar
1710,Ajuste frenos,40,No,Baja,Ajuste frenos
1711,Ensamblar marco,20,Sí,Baja,Ensamblar marco
1712,Control de calidad,54,No,Media,Ensamblar marco
1713,Ajuste frenos,56,Sí,Media,Control de calidad
1714,Ensamblar marco,36,No,Media,Ajuste frenos
1715,Ensamblar marco,17,No,Baja,Pintar
1716,Instalar ruedas,12,Sí,Alta,Ensamblar marco
1717,Ensamblar marco,33,Sí,Media,Ajuste frenos
1718,Instalar ruedas,55,No,Alta,Ajuste frenos
1719,Pintar,46,Sí,Media,Instalar ruedas
1720,Pintar,37,Sí,Alta,Ajuste frenos
1721,Control de calidad,35,Sí,Alta,Control de calidad
1722,Instalar ruedas,46,Sí,Baja,Pintar
1723,Ensamblar marco,49,No,Baja,Pintar
1724,Instalar ruedas,43,Sí,Media,Ajuste frenos
1725,Pintar,11,Sí,Alta,Ensamblar marco
1726,Pintar,11,Sí,Baja,Ajuste frenos
1727,Ensamblar marco,21,Sí,Media,Pintar
1728,Control de calidad,53,Sí,Baja,Pintar
1729,Ensamblar marco,54,Sí,Baja,Control de calidad
1730,Instalar ruedas,16,No,Baja,Ajuste frenos
1731,Instalar ruedas,43,Sí,Baja,Ensamblar marco
1732,Ajuste frenos,56,No,Media,Instalar ruedas
1733,Instalar ruedas,24,No,Media,Instalar ruedas
1734,Instalar ruedas,23,No,Alta,Control de calidad
1735,Ensamblar marco,20,Sí,Alta,Control de calidad
1736,Ajuste frenos,44,No,Alta,Control de calidad
1737,Ajuste frenos,55,No,Media,Instalar ruedas
1738,Control de calidad,54,No,Media,Pintar
1739,Ajuste frenos,59,No,Media,Control de calidad
1740,Ajuste frenos,38,No,Alta,Ensamblar marco
1741,Ensamblar marco,27,Sí,Media,Ajuste frenos
1742,Instalar ruedas,58,Sí,Alta,Ajuste frenos
1743,Pintar,43,Sí,Baja,Instalar ruedas
1744,Ajuste frenos,43,Sí,Alta,Ensamblar marco
1745,Control de calidad,51,Sí,Media,Instalar ruedas
1746,Instalar ruedas,46,No,Baja,Instalar ruedas
1747,Instalar ruedas,11,Sí,Baja,Control de calidad
1748,Instalar ruedas,58,Sí,Baja,Ajuste frenos
1749,Control de calidad,22,Sí,Baja,Instalar ruedas
1750,Instalar ruedas,22,Sí,Alta,Instalar ruedas
1751,Control de calidad,34,Sí,Alta,Instalar ruedas
1752,Ensamblar marco,59,Sí,Media,Instalar ruedas
1753,Instalar ruedas,23,Sí,Alta,Ensamblar marco
1754,Control de calidad,21,Sí,Media,Control de calidad
1755,Control de calidad,22,No,Media,Pintar
1756,Instalar ruedas,35,Sí,Alta,Ensamblar marco
1757,Control de calidad,18,No,Media,Instalar ruedas
1758,Control de calidad,51,Sí,Alta,Pintar
1759,Pintar,44,Sí,Media,Instalar ruedas
1760,Pintar,17,No,Alta,Ajuste frenos
1761,Ensamblar marco,22,No,Alta,Ensamblar marco
1762,Control de calidad,56,No,Alta,Pintar
1763,Instalar ruedas,50,Sí,Alta,Pintar
1764,Control de calidad,20,No,Baja,Ajuste frenos
1765,Pintar,15,No,Media,Ensamblar marco
1766,Control de calidad,11,Sí,Alta,Pintar
1767,Ajuste frenos,57,Sí,Media,Control de calidad
1768,Ensamblar marco,50,No,Media,Ensamblar marco
1769,Control de calidad,30,Sí,Media,Ajuste frenos
1770,Control de calidad,14,No,Media,Ajuste frenos
1771,Pintar,31,No,Media,Ajuste frenos
1772,Ajuste frenos,41,Sí,Baja,Ajuste frenos
1773,Instalar ruedas,28,Sí,Alta,Ajuste frenos
1774,Ensamblar marco,24,No,Alta,Instalar ruedas
1775,Ensamblar marco,48,Sí,Baja,Ajuste frenos
1776,Ajuste frenos,22,No,Alta,Pintar
1777,Pintar,14,No,Media,Control de calidad
1778,Ensamblar marco,43,Sí,Baja,Control de calidad
1779,Ajuste frenos,19,Sí,Baja,Pintar
1780,Pintar,53,No,Alta,Control de calidad
1781,Instalar ruedas,28,No,Baja,Ajuste frenos
1782,Ajuste frenos,50,No,Media,Control de calidad
1783,Instalar ruedas,56,No,Baja,Ajuste frenos
1784,Pintar,12,Sí,Alta,Control de calidad
1785,Ensamblar marco,17,No,Media,Ajuste frenos
1786,Ajuste frenos,15,Sí,Media,Ajuste frenos
1787,Ajuste frenos,21,No,Baja,Control de calidad
1788,Control de calidad,45,Sí,Baja,Instalar ruedas
1789,Ajuste frenos,44,Sí,Baja,Ensamblar marco
1790,Ensamblar marco,20,No,Media,Ensamblar marco
1791,Pintar,39,Sí,Alta,Pintar
1792,Ajuste frenos,10,No,Baja,Instalar ruedas
1793,Ensamblar marco,30,No,Media,Pintar
1794,Instalar ruedas,44,Sí,Alta,Ajuste frenos
1795,Pintar,56,No,Alta,Control de calidad
1796,Pintar,48,No,Media,Instalar ruedas
1797,Ajuste frenos,23,Sí,Media,Ensamblar marco
1798,Ensamblar marco,38,No,Alta,Ajuste frenos
1799,Pintar,43,No,Baja,Instalar ruedas
1800,Instalar ruedas,11,Sí,Media,Ajuste frenos
1801,Pintar,39,Sí,Media,Pintar
1802,Control de calidad,40,No,Baja,Instalar ruedas
1803,Ajuste frenos,37,Sí,Alta,Ensamblar marco
1804,Pintar,31,No,Media,Instalar ruedas
1805,Instalar ruedas,28,Sí,Media,Ajuste frenos
1806,Pintar,35,No,Alta,Pintar
1807,Ensamblar marco,54,Sí,Baja,Pintar
1808,Instalar ruedas,22,No,Baja,Ensamblar marco
1809,Control de calidad,25,No,Baja,Pintar
1810,Control de calidad,44,No,Media,Ensamblar marco
1811,Ensamblar marco,20,No,Media,Ensamblar marco
1812,Instalar ruedas,17,Sí,Media,Control de calidad
1813,Ensamblar marco,19,Sí,Baja,Pintar
1814,Pintar,26,Sí,Alta,Instalar ruedas
1815,Ajuste frenos,43,Sí,Baja,Pintar
1816,Ensamblar marco,33,No,Alta,Ajuste frenos
1817,Instalar ruedas,45,No,Baja,Control de calidad
1818,Instalar ruedas,23,No,Baja,Pintar
1819,Instalar ruedas,53,Sí,Baja,Instalar ruedas
1820,Pintar,38,No,Media,Control de calidad
1821,Ensamblar marco,17,No,Media,Instalar ruedas
1822,Pintar,27,Sí,Media,Instalar ruedas
1823,Ensamblar marco,34,Sí,Baja,Pintar
1824,Pintar,31,No,Alta,Pintar
1825,Instalar ruedas,33,Sí,Media,Ensamblar marco
1826,Ensamblar marco,30,No,Media,Control de calidad
1827,Pintar,38,Sí,Media,Pintar
1828,Instalar ruedas,23,No,Media,Instalar ruedas
1829,Control de calidad,37,No,Baja,Pintar
1830,Instalar ruedas,20,No,Baja,Ajuste frenos
1831,Ensamblar marco,50,Sí,Media,Control de calidad
1832,Pintar,41,Sí,Media,Ensamblar marco
1833,Pintar,55,Sí,Alta,Ensamblar marco
1834,Control de calidad,41,Sí,Alta,Ensamblar marco
1835,Control de calidad,50,No,Baja,Instalar ruedas
1836,Ajuste frenos,10,Sí,Baja,Pintar
1837,Control de calidad,52,No,Alta,Control de calidad
1838,Instalar ruedas,36,No,Media,Instalar ruedas
1839,Pintar,58,No,Media,Instalar ruedas
1840,Ensamblar marco,11,Sí,Baja,Control de calidad
1841,Ensamblar marco,18,Sí,Baja,Control de calidad
1842,Pintar,17,Sí,Alta,Pintar
1843,Pintar,22,Sí,Media,Ensamblar marco
1844,Control de calidad,58,Sí,Alta,Pintar
1845,Ajuste frenos,51,No,Alta,Pintar
1846,Pintar,14,Sí,Media,Pintar
1847,Pintar,14,No,Baja,Ajuste frenos
1848,Ajuste frenos,14,Sí,Baja,Ensamblar marco
1849,Pintar,39,No,Baja,Instalar ruedas
1850,Control de calidad,37,No,Baja,Control de calidad
1851,Pintar,35,No,Baja,Ajuste frenos
1852,Pintar,58,No,Media,Ajuste frenos
1853,Control de calidad,42,No,Alta,Control de calidad
1854,Ajuste frenos,39,Sí,Alta,Instalar ruedas
1855,Ensamblar marco,43,No,Media,Control de calidad
1856,Ajuste frenos,57,No,Baja,Pintar
1857,Instalar ruedas,38,Sí,Alta,Instalar ruedas
1858,Instalar ruedas,37,No,Alta,Ajuste frenos
1859,Instalar ruedas,10,No,Media,Ajuste frenos
1860,Control de calidad,21,No,Baja,Ensamblar marco
1861,Control de calidad,39,Sí,Alta,Ajuste frenos
1862,Control de calidad,49,Sí,Alta,Ensamblar marco
1863,Instalar ruedas,12,No,Baja,Ensamblar marco
1864,Ensamblar marco,34,Sí,Baja,Ensamblar marco
1865,Instalar ruedas,46,Sí,Baja,Ensamblar marco
1866,Ajuste frenos,20,No,Media,Ajuste frenos
1867,Ensamblar marco,32,No,Baja,Control de calidad
1868,Control de calidad,49,No,Baja,Ajuste frenos
1869,Control de calidad,36,No,Alta,Instalar ruedas
1870,Ensamblar marco,13,No,Baja,Instalar ruedas
1871,Pintar,53,Sí,Baja,Control de calidad
1872,Pintar,24,No,Baja,Instalar ruedas
1873,Instalar ruedas,25,No,Media,Control de calidad
1874,Instalar ruedas,30,Sí,Baja,Ensamblar marco
1875,Pintar,48,No,Media,Pintar
1876,Ensamblar marco,46,No,Alta,Ensamblar marco
1877,Pintar,21,No,Media,Control de calidad
1878,Instalar ruedas,56,No,Baja,Pintar
1879,Ajuste frenos,32,No,Baja,Ensamblar marco
1880,Ensamblar marco,12,Sí,Alta,Pintar
1881,Control de calidad,32,No,Baja,Ensamblar marco
1882,Control de calidad,35,No,Media,Pintar
1883,Instalar ruedas,30,Sí,Media,Instalar ruedas
1884,Ensamblar marco,52,No,Alta,Instalar ruedas
1885,Ensamblar marco,36,No,Alta,Pintar
1886,Pintar,36,Sí,Alta,Instalar ruedas
1887,Pintar,25,No,Media,Ensamblar marco
1888,Control de calidad,46,Sí,Media,Control de calidad
1889,Ensamblar marco,23,No,Media,Instalar ruedas
1890,Ajuste frenos,39,No,Alta,Ensamblar marco
1891,Ajuste frenos,13,No,Media,Control de calidad
1892,Control de calidad,49,Sí,Baja,Ensamblar marco
1893,Ajuste frenos,48,No,Baja,Pintar
1894,Ajuste frenos,16,No,Baja,Ensamblar marco
1895,Ajuste frenos,14,No,Baja,Instalar ruedas
1896,Ajuste frenos,21,Sí,Alta,Instalar ruedas
1897,Instalar ruedas,21,No,Baja,Ensamblar marco
1898,Instalar ruedas,51,Sí,Media,Control de calidad
1899,Pintar,26,Sí,Baja,Instalar ruedas
1900,Instalar ruedas,27,Sí,Alta,Ajuste frenos
1901,Pintar,38,No,Baja,Control de calidad
1902,Ajuste frenos,42,Sí,Baja,Pintar
1903,Ensamblar marco,25,No,Baja,Control de calidad
1904,Ensamblar marco,52,No,Media,Ajuste frenos
1905,Ensamblar marco,29,No,Alta,Pintar
1906,Pintar,35,No,Media,Ensamblar marco
1907,Pintar,23,No,Baja,Instalar ruedas
1908,Ensamblar marco,46,No,Alta,Ajuste frenos
1909,Instalar ruedas,13,No,Baja,Ensamblar marco
1910,Control de calidad,59,Sí,Media,Instalar ruedas
1911,Ensamblar marco,10,Sí,Media,Ajuste frenos
1912,Instalar ruedas,20,No,Media,Pintar
1913,Pintar,30,Sí,Alta,Instalar ruedas
1914,Control de calidad,54,Sí,Baja,Pintar
1915,Pintar,28,No,Alta,Instalar ruedas
1916,Pintar,13,Sí,Baja,Control de calidad
1917,Instalar ruedas,27,No,Baja,Instalar ruedas
1918,Ensamblar marco,39,No,Media,Ensamblar marco
1919,Ajuste frenos,46,No,Media,Control de calidad
1920,Instalar ruedas,51,Sí,Alta,Pintar
1921,Ensamblar marco,27,No,Baja,Ajuste frenos
1922,Ajuste frenos,11,No,Baja,Ajuste frenos
1923,Ensamblar marco,18,No,Alta,Pintar
1924,Control de calidad,29,No,Media,Control de calidad
1925,Pintar,47,No,Media,Ajuste frenos
1926,Ensamblar marco,51,Sí,Baja,Instalar ruedas
1927,Pintar,40,Sí,Alta,Ajuste frenos
1928,Instalar ruedas,48,Sí,Alta,Control de calidad
1929,Ensamblar marco,49,No,Baja,Control de calidad
1930,Instalar ruedas,37,No,Alta,Control de calidad
1931,Ensamblar marco,17,No,Baja,Control de calidad
1932,Ensamblar marco,41,No,Media,Pintar
1933,Control de calidad,31,No,Baja,Ensamblar marco
1934,Pintar,56,No,Alta,Pintar
1935,Ajuste frenos,59,Sí,Baja,Ensamblar marco
1936,Pintar,15,No,Media,Instalar ruedas
1937,Instalar ruedas,44,No,Media,Ensamblar marco
1938,Ensamblar marco,21,Sí,Baja,Pintar
1939,Ajuste frenos,12,Sí,Alta,Ajuste frenos
1940,Ajuste frenos,47,Sí,Baja,Instalar ruedas
1941,Control de calidad,58,Sí,Baja,Ensamblar marco
1942,Ensamblar marco,55,No,Media,Control de calidad
1943,Ensamblar marco,44,No,Media,Pintar
1944,Ensamblar marco,17,Sí,Alta,Instalar ruedas
1945,Instalar ruedas,58,No,Alta,Instalar ruedas
1946,Ajuste frenos,41,No,Media,Control de calidad
1947,Instalar ruedas,27,Sí,Media,Pintar
1948,Control de calidad,22,Sí,Alta,Pintar
1949,Ajuste frenos,55,No,Media,Ensamblar marco
1950,Ajuste frenos,36,Sí,Alta,Control de calidad
1951,Ajuste frenos,36,No,Alta,Pintar
1952,Control de calidad,44,No,Baja,Pintar
1953,Ajuste frenos,59,Sí,Media,Ensamblar marco
1954,Ajuste frenos,30,Sí,Media,Instalar ruedas
1955,Ensamblar marco,51,No,Alta,Ajuste frenos
1956,Pintar,17,Sí,Baja,Ajuste frenos
1957,Instalar ruedas,19,Sí,Baja,Instalar ruedas
1958,Control de calidad,36,Sí,Alta,Pintar
1959,Pintar,32,No,Baja,Instalar ruedas
1960,Control de calidad,33,No,Alta,Ensamblar marco
1961,Pintar,36,Sí,Media,Pintar
1962,Control de calidad,56,No,Media,Control de calidad
1963,Control de calidad,51,Sí,Media,Ajuste frenos
1964,Control de calidad,43,Sí,Baja,Instalar ruedas
1965,Ajuste frenos,59,Sí,Alta,Control de calidad
1966,Ensamblar marco,48,Sí,Baja,Instalar ruedas
1967,Control de calidad,50,Sí,Media,Pintar
1968,Ensamblar marco,51,Sí,Baja,Instalar ruedas
1969,Ensamblar marco,13,No,Media,Pintar
1970,Control de calidad,12,No,Alta,Instalar ruedas
1971,Ajuste frenos,41,Sí,Baja,Control de calidad
1972,Ajuste frenos,19,No,Alta,Ajuste frenos
1973,Control de calidad,15,Sí,Media,Ensamblar marco
1974,Pintar,46,Sí,Media,Ajuste frenos
1975,Control de calidad,27,No,Baja,Instalar ruedas
1976,Ajuste frenos,23,Sí,Baja,Instalar ruedas
1977,Instalar ruedas,22,No,Alta,Ajuste frenos
1978,Pintar,48,Sí,Baja,Instalar ruedas
1979,Ajuste frenos,37,Sí,Alta,Control de calidad
1980,Control de calidad,43,Sí,Baja,Control de calidad
1981,Instalar ruedas,13,Sí,Alta,Instalar ruedas
1982,Pintar,55,No,Baja,Control de calidad
1983,Ajuste frenos,56,Sí,Alta,Pintar
1984,Instalar ruedas,32,No,Baja,Ajuste frenos
1985,Control de calidad,23,Sí,Baja,Ajuste frenos
1986,Instalar ruedas,31,No,Alta,Pintar
1987,Ensamblar marco,22,No,Baja,Ensamblar marco
1988,Ajuste frenos,57,No,Baja,Ensamblar marco
1989,Control de calidad,35,No,Alta,Ensamblar marco
1990,Instalar ruedas,15,Sí,Baja,Ensamblar marco
1991,Pintar,30,Sí,Baja,Ensamblar marco
1992,Instalar ruedas,52,Sí,Media,Pintar
1993,Control de calidad,47,Sí,Baja,Pintar
1994,Pintar,17,No,Media,Instalar ruedas
1995,Ajuste frenos,37,No,Media,Ensamblar marco
1996,Ensamblar marco,52,Sí,Alta,Pintar
1997,Pintar,17,No,Media,Ensamblar marco
1998,Ensamblar marco,17,Sí,Media,Instalar ruedas
1999,Ajuste frenos,22,No,Alta,Instalar ruedas
2000,Ajuste frenos,44,No,Media,Control de calidad
2001,Ajuste frenos,27,No,Alta,Pintar
2002,Ajuste frenos,30,No,Alta,Ajuste frenos
2003,Instalar ruedas,18,Sí,Alta,Pintar
2004,Control de calidad,29,Sí,Media,Instalar ruedas
2005,Control de calidad,43,Sí,Alta,Ensamblar marco
2006,Ensamblar marco,56,No,Alta,Pintar
2007,Instalar ruedas,34,Sí,Media,Control de calidad
2008,Ensamblar marco,15,No,Media,Ensamblar marco
2009,Control de calidad,25,No,Media,Instalar ruedas
2010,Instalar ruedas,14,Sí,Media,Ensamblar marco
2011,Pintar,46,Sí,Baja,Ensamblar marco
2012,Instalar ruedas,53,Sí,Alta,Ensamblar marco
2013,Ajuste frenos,40,No,Baja,Ensamblar marco
2014,Pintar,39,No,Baja,Ensamblar marco
2015,Pintar,58,Sí,Baja,Control de calidad
2016,Ajuste frenos,19,Sí,Alta,Control de calidad
2017,Ajuste frenos,35,Sí,Baja,Ensamblar marco
2018,Instalar ruedas,37,Sí,Alta,Instalar ruedas
2019,Ensamblar marco,47,No,Media,Control de calidad
2020,Ajuste frenos,35,No,Alta,Pintar
2021,Ajuste frenos,36,No,Alta,Pintar
2022,Instalar ruedas,20,Sí,Alta,Instalar ruedas
2023,Ajuste frenos,26,Sí,Alta,Control de calidad
2024,Instalar ruedas,27,Sí,Alta,Control de calidad
2025,Ensamblar marco,38,Sí,Alta,Control de calidad
2026,Pintar,50,Sí,Baja,Ajuste frenos
2027,Control de calidad,19,No,Media,Instalar ruedas
2028,Ensamblar marco,47,Sí,Baja,Instalar ruedas
2029,Ajuste frenos,33,Sí,Alta,Instalar ruedas
2030,Pintar,51,Sí,Alta,Ensamblar marco
2031,Ensamblar marco,17,No,Baja,Ajuste frenos
2032,Ensamblar marco,16,Sí,Baja,Instalar ruedas
2033,Instalar ruedas,28,Sí,Alta,Control de calidad
2034,Ajuste frenos,56,No,Alta,Instalar ruedas
2035,Instalar ruedas,32,No,Baja,Pintar
2036,Ajuste frenos,39,No,Alta,Ajuste frenos
2037,Pintar,28,No,Alta,Ensamblar marco
2038,Ajuste frenos,51,No,Media,Instalar ruedas
2039,Pintar,28,Sí,Media,Instalar ruedas
2040,Pintar,29,Sí,Alta,Control de calidad
2041,Ajuste frenos,43,Sí,Baja,Ajuste frenos
2042,Control de calidad,48,Sí,Media,Pintar
2043,Instalar ruedas,27,Sí,Baja,Pintar
2044,Ensamblar marco,41,Sí,Media,Ensamblar marco
2045,Pintar,32,No,Media,Pintar
2046,Ajuste frenos,43,Sí,Baja,Instalar ruedas
2047,Ajuste frenos,55,No,Media,Control de calidad
2048,Instalar ruedas,42,Sí,Baja,Control de calidad
2049,Instalar ruedas,13,Sí,Alta,Ajuste frenos
2050,Ensamblar marco,16,Sí,Media,Ajuste frenos
2051,Instalar ruedas,48,No,Baja,Ajuste frenos
2052,Ensamblar marco,50,No,Media,Ensamblar marco
2053,Ajuste frenos,47,Sí,Baja,Pintar
2054,Control de calidad,33,No,Media,Ajuste frenos
2055,Ensamblar marco,34,No,Alta,Instalar ruedas
2056,Pintar,21,No,Baja,Instalar ruedas
2057,Ajuste frenos,46,No,Media,Ensamblar marco
2058,Ajuste frenos,30,Sí,Baja,Control de calidad
2059,Ensamblar marco,40,Sí,Baja,Ajuste frenos
2060,Instalar ruedas,50,No,Media,Pintar
2061,Instalar ruedas,50,Sí,Media,Ensamblar marco
2062,Ajuste frenos,25,Sí,Media,Control de calidad
2063,Instalar ruedas,44,No,Alta,Ajuste frenos
2064,Pintar,48,Sí,Media,Ajuste frenos
2065,Ensamblar marco,28,No,Baja,Ajuste frenos
2066,Control de calidad,21,Sí,Media,Pintar
2067,Control de calidad,10,Sí,Alta,Ajuste frenos
2068,Instalar ruedas,46,Sí,Media,Instalar ruedas
2069,Ajuste frenos,39,Sí,Baja,Instalar ruedas
2070,Instalar ruedas,49,No,Baja,Ajuste frenos
2071,Ajuste frenos,56,Sí,Media,Ensamblar marco
2072,Ensamblar marco,31,Sí,Media,Pintar
2073,Instalar ruedas,46,No,Baja,Pintar
2074,Control de calidad,58,No,Baja,Ensamblar marco
2075,Instalar ruedas,10,Sí,Media,Instalar ruedas
2076,Control de calidad,51,No,Media,Instalar ruedas
2077,Ajuste frenos,22,Sí,Media,Ajuste frenos
2078,Pintar,38,No,Alta,Pintar
2079,Pintar,42,No,Media,Pintar
2080,Ajuste frenos,37,Sí,Media,Ajuste frenos
